year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name,expansion_group,treated,post,treat_post
2009,        ,20,0,40,0,0,0,0,2392227,       0,349636,    9668,2042590,    9668,14.6,0.4, 85.4,  0.4, 14.6,  0.4, 85.4,  0.4,Kansas,                                             ,never_expanded,0,0,0
2009,        ,21,0,40,0,0,0,0,3639554,       0,601743,   14341,3037811,   14341,16.5,0.4, 83.5,  0.4, 16.5,  0.4, 83.5,  0.4,Kentucky,                                             ,expansion_2014,1,0,0
2009,        ,24,0,40,0,0,0,0,4881770,       0,627606,   14615,4254164,   14615,12.9,0.3, 87.1,  0.3, 12.9,  0.3, 87.1,  0.3,Maryland,                                             ,expansion_2014,1,0,0
2009,        ,25,0,40,0,0,0,0,5523556,       0,269241,   10453,5254315,   10453,4.9,0.2, 95.1,  0.2,  4.9,  0.2, 95.1,  0.2,Massachusetts,                                             ,expansion_2014,1,0,0
2009,        ,26,0,40,0,0,0,0,8426916,       0,1173560,   18539,7253356,   18539,13.9,0.2, 86.1,  0.2, 13.9,  0.2, 86.1,  0.2,Michigan,                                             ,expansion_2014,1,0,0
2009,        ,27,0,40,0,0,0,0,4504582,       0,460534,   10303,4044048,   10303,10.2,0.2, 89.8,  0.2, 10.2,  0.2, 89.8,  0.2,Minnesota,                                             ,expansion_2014,1,0,0
2009,        ,28,0,40,0,0,0,0,2482093,       0,509923,   14200,1972171,   14200,20.5,0.6, 79.5,  0.6, 20.5,  0.6, 79.5,  0.6,Mississippi,                                             ,never_expanded,0,0,0
2009,        ,32,0,40,0,0,0,0,2309179,       0,565573,   13467,1743606,   13467,24.5,0.6, 75.5,  0.6, 24.5,  0.6, 75.5,  0.6,Nevada,                                             ,expansion_2014,1,0,0
2009,        ,34,0,40,0,0,0,0,7416480,       0,1071584,   19162,6344896,   19162,14.4,0.3, 85.6,  0.3, 14.4,  0.3, 85.6,  0.3,New Jersey,                                             ,expansion_2014,1,0,0
2009,        ,35,0,40,0,0,0,0,1721045,       0,394687,   10885,1326358,   10885,22.9,0.6, 77.1,  0.6, 22.9,  0.6, 77.1,  0.6,New Mexico,                                             ,expansion_2014,1,0,0
2009,        ,36,0,40,0,0,0,0,16508612,       0,2172693,   28831,14335919,   28831,13.2,0.2, 86.8,  0.2, 13.2,  0.2, 86.8,  0.2,New York,                                             ,expansion_2014,1,0,0
2009,        ,38,0,40,0,0,0,0,534173,       0,61244,    3350,472928,    3350,11.5,0.6, 88.5,  0.6, 11.5,  0.6, 88.5,  0.6,North Dakota,                                             ,expansion_2014,1,0,0
2009,        ,39,0,40,0,0,0,0,9683509,       0,1358090,   21892,8325419,   21892,14.0,0.2, 86.0,  0.2, 14.0,  0.2, 86.0,  0.2,Ohio,                                             ,expansion_2014,1,0,0
2009,        ,41,0,40,0,0,0,0,3246965,       0,628573,   14264,2618392,   14264,19.4,0.4, 80.6,  0.4, 19.4,  0.4, 80.6,  0.4,Oregon,                                             ,expansion_2014,1,0,0
2009,        ,44,0,40,0,0,0,0,874101,       0,116176,    5914,757924,    5914,13.3,0.7, 86.7,  0.7, 13.3,  0.7, 86.7,  0.7,Rhode Island,                                             ,expansion_2014,1,0,0
2009,        ,45,0,40,0,0,0,0,3802726,       0,737955,   15928,3064770,   15928,19.4,0.4, 80.6,  0.4, 19.4,  0.4, 80.6,  0.4,South Carolina,                                             ,never_expanded,0,0,0
2009,        ,47,0,40,0,0,0,0,5321778,       0,867718,   17380,4454060,   17380,16.3,0.3, 83.7,  0.3, 16.3,  0.3, 83.7,  0.3,Tennessee,                                             ,never_expanded,0,0,0
2009,        ,48,0,40,0,0,0,0,21730992,       0,5710171,   46659,16020821,   46659,26.3,0.2, 73.7,  0.2, 26.3,  0.2, 73.7,  0.2,Texas,                                             ,never_expanded,0,0,0
2009,        ,50,0,40,0,0,0,0,514070,       0,53420,    3205,460651,    3205,10.4,0.6, 89.6,  0.6, 10.4,  0.6, 89.6,  0.6,Vermont,                                             ,expansion_2014,1,0,0
2009,        ,53,0,40,0,0,0,0,5765936,       0,865282,   16862,4900655,   16862,15.0,0.3, 85.0,  0.3, 15.0,  0.3, 85.0,  0.3,Washington,                                             ,expansion_2014,1,0,0
2009,        ,54,0,40,0,0,0,0,1493154,       0,250222,    8827,1242932,    8827,16.8,0.6, 83.2,  0.6, 16.8,  0.6, 83.2,  0.6,West Virginia,                                             ,expansion_2014,1,0,0
2009,        ,55,0,40,0,0,0,0,4764490,       0,506363,   11161,4258127,   11161,10.6,0.2, 89.4,  0.2, 10.6,  0.2, 89.4,  0.2,Wisconsin,                                             ,never_expanded,0,0,0
2009,        ,56,0,40,0,0,0,0,465447,       0,80707,    4496,384740,    4496,17.3,1.0, 82.7,  1.0, 17.3,  1.0, 82.7,  1.0,Wyoming,                                             ,never_expanded,0,0,0
